Time (UTC),Open,High,Low,Close,Volume 
2024.04.30 01:25:00,2335.215,2335.822,2334.905,2335.632,0.05133
2024.04.30 01:30:00,2335.645,2336.292,2334.235,2335.375,0.07137
2024.04.30 01:35:00,2335.365,2335.825,2334.695,2335.195,0.05722
2024.04.30 01:40:00,2335.115,2335.725,2334.965,2335.335,0.03483
2024.04.30 01:45:00,2335.255,2335.985,2334.905,2335.505,0.03915
2024.04.30 01:50:00,2335.505,2336.425,2334.535,2334.575,0.05011
2024.04.30 01:55:00,2334.535,2335.135,2334.105,2334.235,0.05901
2024.04.30 02:00:00,2334.295,2334.735,2333.035,2334.245,0.09807
2024.04.30 02:05:00,2334.235,2334.505,2333.335,2333.555,0.10326
2024.04.30 02:10:00,2333.465,2333.505,2329.835,2329.915,0.16273
2024.04.30 02:15:00,2329.935,2332.065,2329.915,2332.065,0.05364
2024.04.30 02:20:00,2332.075,2332.495,2331.175,2331.295,0.0417
2024.04.30 02:25:00,2331.295,2331.655,2330.565,2330.825,0.04293
2024.04.30 02:30:00,2330.755,2330.935,2329.415,2329.705,0.11256
2024.04.30 02:35:00,2329.595,2329.885,2327.095,2328.725,0.12695
2024.04.30 02:40:00,2328.775,2329.905,2328.465,2329.842,0.22409
2024.04.30 02:45:00,2329.895,2330.445,2329.342,2329.535,0.11654
2024.04.30 02:50:00,2329.522,2331.045,2329.295,2330.885,0.11091
2024.04.30 02:55:00,2330.875,2331.905,2330.665,2331.535,0.03885
2024.04.30 03:00:00,2331.515,2331.955,2329.895,2330.345,0.08384
2024.04.30 03:05:00,2330.325,2330.785,2329.035,2330.055,0.11307
2024.04.30 03:10:00,2330.095,2330.715,2329.595,2329.595,0.05897
2024.04.30 03:15:00,2329.585,2330.685,2329.295,2330.555,0.05932
2024.04.30 03:20:00,2330.585,2330.845,2329.835,2329.972,0.04068
2024.04.30 03:25:00,2329.925,2329.955,2328.825,2328.845,0.04752
2024.04.30 03:30:00,2328.855,2330.565,2328.855,2330.565,0.04848
2024.04.30 03:35:00,2330.505,2330.815,2329.845,2329.845,0.027
2024.04.30 03:40:00,2329.865,2330.545,2329.515,2330.435,0.02613
2024.04.30 03:45:00,2330.425,2330.635,2329.482,2329.655,0.03408
2024.04.30 03:50:00,2329.735,2330.375,2329.685,2330.235,0.01958
2024.04.30 03:55:00,2330.245,2330.265,2329.025,2329.415,0.02482
2024.04.30 04:00:00,2329.415,2329.745,2328.715,2329.655,0.04932
2024.04.30 04:05:00,2329.705,2329.705,2328.745,2328.745,0.027
2024.04.30 04:10:00,2328.745,2328.845,2327.895,2327.895,0.052
2024.04.30 04:15:00,2327.885,2328.655,2327.635,2328.385,0.04912
2024.04.30 04:20:00,2328.355,2328.815,2328.235,2328.785,0.03794
2024.04.30 04:25:00,2328.785,2328.785,2326.445,2326.745,0.10236
2024.04.30 04:30:00,2326.715,2326.805,2325.525,2326.645,0.08943
2024.04.30 04:35:00,2326.665,2326.675,2325.195,2325.685,0.03864
2024.04.30 04:40:00,2325.695,2326.665,2325.515,2326.455,0.04099
2024.04.30 04:45:00,2326.515,2327.005,2326.205,2326.542,0.02559
2024.04.30 04:50:00,2326.635,2326.975,2326.362,2326.362,0.04554
2024.04.30 04:55:00,2326.402,2327.045,2326.402,2326.715,0.01818
2024.04.30 05:00:00,2326.655,2326.935,2325.655,2326.402,0.07062
2024.04.30 05:05:00,2326.185,2327.195,2325.825,2326.762,0.12595
2024.04.30 05:10:00,2326.762,2326.972,2325.905,2326.185,0.05534
2024.04.30 05:15:00,2326.205,2326.785,2326.125,2326.125,0.03273
2024.04.30 05:20:00,2326.115,2326.772,2325.695,2325.695,0.04207
2024.04.30 05:25:00,2325.615,2325.835,2324.702,2325.022,0.06192
2024.04.30 05:30:00,2324.972,2325.122,2322.015,2324.025,0.16951
